run_id,model,display_model,model_id,provider,family,generation,variant,params_b,layers,heads,quantization,dtype,num_prompts,shared_prompts,num_spans,attention_keys,attention_shape,head_selection_run_id
qwen-phase2-qwen2.5-7b-seed0-phase2,qwen2.5-7b-attn,qwen2.5-7b,Qwen/Qwen2.5-7B,attn-hf-no-sys,Qwen,Qwen2.5,base,7.0,28,28,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x28x28,qwen-phase2-qwen2.5-7b-head-selection
qwen-phase2-qwen2.5-14b-seed0-phase2,qwen2.5-14b-attn,qwen2.5-14b,Qwen/Qwen2.5-14B,attn-hf-no-sys,Qwen,Qwen2.5,base,14.0,48,40,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x48x40,qwen-phase2-qwen2.5-14b-head-selection
qwen-phase2-qwen2.5-32b-seed0-phase2,qwen2.5-32b-attn,qwen2.5-32b,Qwen/Qwen2.5-32B,attn-hf-no-sys,Qwen,Qwen2.5,base,32.0,64,40,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x64x40,qwen-phase2-qwen2.5-32b-head-selection
qwen-phase2-qwen2.5-7b-instruct-seed0-phase2,qwen2.5-7b-instruct-attn,qwen2.5-7b-instruct,Qwen/Qwen2.5-7B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,7.0,28,28,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x28x28,qwen-phase2-qwen2.5-7b-instruct-head-selection
qwen-phase2-qwen2.5-14b-instruct-seed0-phase2,qwen2.5-14b-instruct-attn,qwen2.5-14b-instruct,Qwen/Qwen2.5-14B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,14.0,48,40,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x48x40,qwen-phase2-qwen2.5-14b-instruct-head-selection
qwen-phase2-qwen2.5-32b-instruct-seed0-phase2,qwen2.5-32b-instruct-attn,qwen2.5-32b-instruct,Qwen/Qwen2.5-32B-Instruct,attn-hf,Qwen,Qwen2.5,instruct,32.0,64,40,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x64x40,qwen-phase2-qwen2.5-32b-instruct-head-selection
qwen-phase2-qwen2.5-coder-7b-instruct-seed0-phase2,qwen2.5-coder-7b-instruct-attn,qwen2.5-coder-7b-instruct,Qwen/Qwen2.5-Coder-7B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,7.0,28,28,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x28x28,qwen-phase2-qwen2.5-coder-7b-instruct-head-selection
qwen-phase2-qwen2.5-coder-14b-instruct-seed0-phase2,qwen2.5-coder-14b-instruct-attn,qwen2.5-coder-14b-instruct,Qwen/Qwen2.5-Coder-14B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,14.0,48,40,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x48x40,qwen-phase2-qwen2.5-coder-14b-instruct-head-selection
qwen-phase2-qwen2.5-coder-32b-instruct-seed0-phase2,qwen2.5-coder-32b-instruct-attn,qwen2.5-coder-32b-instruct,Qwen/Qwen2.5-Coder-32B-Instruct,attn-hf,Qwen,Qwen2.5,coder-instruct,32.0,64,40,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x64x40,qwen-phase2-qwen2.5-coder-32b-instruct-head-selection
qwen-phase2-qwen3-8b-seed0-phase2,qwen3-8b-attn,qwen3-8b,Qwen/Qwen3-8B,attn-hf,Qwen,Qwen3,base,8.0,36,32,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x36x32,qwen-phase2-qwen3-8b-head-selection
qwen-phase2-qwen3-14b-seed0-phase2,qwen3-14b-attn,qwen3-14b,Qwen/Qwen3-14B,attn-hf,Qwen,Qwen3,base,14.0,40,40,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x40x40,qwen-phase2-qwen3-14b-head-selection
qwen-phase2-qwen3-32b-seed0-phase2,qwen3-32b-attn,qwen3-32b,Qwen/Qwen3-32B,attn-hf,Qwen,Qwen3,base,32.0,64,64,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x64x64,qwen-phase2-qwen3-32b-head-selection
gemma-phase2-gemma-2-9b-it-seed0-phase2,gemma-2-9b-it-attn,gemma-2-9b-it,google/gemma-2-9b-it,attn-hf-no-sys,Gemma,Gemma2,it,9.0,42,16,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x42x16,gemma-phase2-gemma-2-9b-it-head-selection
gemma-phase2-gemma-2-27b-it-seed0-phase2,gemma-2-27b-it-attn,gemma-2-27b-it,google/gemma-2-27b-it,attn-hf-no-sys,Gemma,Gemma2,it,27.0,46,32,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x46x32,gemma-phase2-gemma-2-27b-it-head-selection
gemma-phase2-gemma-3-4b-it-seed0-phase2,gemma-3-4b-it-attn,gemma-3-4b-it,google/gemma-3-4b-it,attn-hf-no-sys,Gemma,Gemma3,it,4.0,34,8,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x34x8,gemma-phase2-gemma-3-4b-it-head-selection
gemma-phase2-gemma-3-12b-it-seed0-phase2,gemma-3-12b-it-attn,gemma-3-12b-it,google/gemma-3-12b-it,attn-hf-no-sys,Gemma,Gemma3,it,12.0,48,16,8bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x48x16,gemma-phase2-gemma-3-12b-it-head-selection
gemma-phase2-gemma-3-27b-it-seed0-phase2,gemma-3-27b-it-attn,gemma-3-27b-it,google/gemma-3-27b-it,attn-hf-no-sys,Gemma,Gemma3,it,27.0,62,32,4bit,bfloat16,116,116,464,"data_mass,entropy,instruction_mass,normalized_instruction_ratio,ratio",116x62x32,gemma-phase2-gemma-3-27b-it-head-selection
